istat_code,municipality,sea_coast_km,lake_coast_km,protected_areas_sqkm,museums,architectural_features,sports_facilities,nature_based,theme_parks,nightlife,public_transport_points,airport_straight_km
1264,Settimo Rottaro,0.0,0.0,0.107,0,0,1,0,0,0,10,35.218
1265,Settimo Torinese,0.0,1.566,0.0,2,0,118,1,0,3,135,11.389
1266,Settimo Vittone,0.0,0.0,0.0,0,2,3,9,0,1,6,42.499
1267,Sparone,0.0,0.0,3.457,0,5,5,7,0,3,16,24.964
1268,Strambinello,0.0,0.0,0.0,0,2,2,1,0,0,6,25.77
1269,Strambino,0.0,1.068,0.0,0,1,7,0,0,1,20,28.354
1270,Susa,0.0,0.0,1.619,3,4,19,2,0,13,30,45.764
1271,Tavagnasco,0.0,0.0,0.0,0,0,5,0,0,0,2,39.748
1272,Torino,0.0,0.0,2.66,58,229,1020,20,0,433,2821,14.478
1273,Torrazza Piemonte,0.0,0.0,0.037,0,0,5,1,0,0,5,25.809
1274,Torre Canavese,0.0,0.0,3.053,0,2,5,2,0,0,4,23.659
1275,Torre Pellice,0.0,0.0,0.0,2,1,8,9,0,9,8,45.789
1276,Trana,0.0,0.0,0.0,0,0,10,2,0,0,21,27.149
1278,Traversella,0.0,0.125,0.0,2,0,1,13,0,0,5,34.63
1279,Traves,0.0,0.0,0.0,0,0,1,9,0,0,3,19.413
1280,Trofarello,0.0,0.0,0.0,0,1,21,2,0,2,23,26.083
1281,Usseaux,0.0,0.624,19.157,0,0,0,12,0,1,0,53.306
1282,Usseglio,0.0,7.775,0.192,2,3,6,27,0,0,16,37.857
1283,Vaie,0.0,0.079,0.0,2,0,1,2,0,0,0,30.414
1284,Val della Torre,0.0,0.0,5.364,0,0,18,11,0,1,0,16.851
1285,Valgioie,0.0,0.0,0.0,1,0,4,7,0,1,0,28.51
1286,Vallo Torinese,0.0,0.0,0.0,0,0,2,2,0,0,3,13.538
1287,Valperga,0.0,0.207,2.519,0,3,7,9,0,2,18,18.573
1288,Valprato Soana,0.0,0.261,0.0,1,0,4,13,0,1,14,24.592
1289,Varisella,0.0,0.0,0.529,0,0,1,9,0,0,0,13.963
1290,Vauda Canavese,0.0,0.0,0.935,0,0,3,1,0,0,7,8.591
1291,Venaus,0.0,0.411,0.0,0,1,6,17,0,2,2,52.189
1292,Venaria Reale,0.0,0.0,14.75,3,12,32,0,0,3,88,7.104
1293,Verolengo,0.0,0.199,1.707,0,0,10,0,0,2,37,26.25
1294,Verrua Savoia,0.0,0.0,7.736,0,1,21,6,0,1,26,36.057
1295,Vestignè,0.0,0.0,0.0,0,0,0,0,0,0,4,30.889
1296,Vialfrè,0.0,0.0,4.295,0,0,0,2,0,0,2,23.44
1298,Vidracco,0.0,1.455,0.584,0,0,3,0,0,1,4,26.395
1299,Vigone,0.0,0.0,0.0,0,0,16,2,0,4,2,33.75
1300,Villafranca Piemonte,0.0,0.0,0.967,0,1,37,1,0,0,0,29.672
1301,Villanova Canavese,0.0,0.0,0.0,0,0,4,0,0,1,3,9.073
1302,Villarbasse,0.0,0.0,0.029,0,17,52,6,0,0,22,22.248
1303,Villar Dora,0.0,0.0,0.0,0,1,10,1,0,0,11,23.443
1304,Villareggia,0.0,0.0,0.637,0,4,17,3,0,0,7,27.441
1305,Villar Focchiardo,0.0,0.348,8.518,0,2,9,10,0,2,6,36.447
1306,Villar Pellice,0.0,0.073,0.0,1,0,3,12,0,0,0,47.082
1307,Villar Perosa,0.0,0.534,0.0,1,0,9,4,0,5,0,43.884
1308,Villastellone,0.0,0.279,0.0,1,0,36,0,0,1,18,32.36
1309,Vinovo,0.0,0.0,0.002,0,1,95,0,0,2,31,27.328
1310,Virle Piemonte,0.0,0.27,0.0,0,1,5,0,0,1,0,35.176
1311,Vische,0.0,1.585,0.262,0,3,16,2,0,0,16,27.556
1312,Vistrorio,0.0,1.938,0.0,0,0,4,1,0,0,8,28.283
1313,Viù,0.0,0.1,1.929,0,2,10,26,0,0,39,22.014
1314,Volpiano,0.0,0.962,0.0,0,2,62,4,0,1,34,10.448
1315,Volvera,0.0,0.0,0.0,0,2,46,1,0,1,4,29.005
1316,Mappano,0.0,0.0,0.0,0,0,13,0,0,5,16,6.905
1317,Val di Chy,0.0,0.0,0.0,0,3,9,6,0,0,38,30.558
1318,Valchiusa,0.0,1.018,0.0,0,0,3,8,0,0,38,35.815
2002,Alagna Valsesia,0.0,3.338,27.055,13,3,36,81,0,3,1,44.177
2003,Albano Vercellese,0.0,0.0,5.107,0,1,6,8,0,0,4,35.198
2004,Alice Castello,0.0,0.0,0.0,0,5,54,0,0,1,9,38.907
2006,Arborio,0.0,0.452,0.0,0,1,6,0,0,2,4,31.375
2007,Asigliano Vercellese,0.0,0.0,0.0,0,6,19,0,0,0,0,47.44
